"BehaviorSpace results (NetLogo 6.0.2)"
"vultures.nlogo"
"experiment"
"03/25/2018 00:51:59:129 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","1","2","3","4","5","6"
"movement-var","20","20","20","20","20","20"
"well-alpha","12","12","12","12","12","12"
"puff-time","100","100","100","100","100","100"
"show-energy?","false","false","false","false","false","false"
"wind-var","32","32","32","32","32","32"
"sheep-energy","400","400","400","400","400","400"
"vision","25.5","25.5","25.5","25.5","25.5","25.5"
"initial-number-sheep","1","1","1","1","1","1"
"well-beta","6","6","6","6","6","6"
"puff-num","0","0","0","0","0","0"
"wind-dir","213","213","213","213","213","213"
"sep-dist","5","8","11","14","17","20"
"chase?","true","true","true","true","true","true"
"initial-number-vultures","5","5","5","5","5","5"
"puff-conc","50","50","50","50","50","50"
"wind-speed","1","1","1","1","1","1"
"movement-cost","0.5","0.5","0.5","0.5","0.5","0.5"
"movement-rate","0.51","0.51","0.51","0.51","0.51","0.51"
"movement-angle","360","360","360","360","360","360"
"c","1","1","1","1","1","1"
"d","1","1","1","1","1","1"
"well-depth","1","1","1","1","1","1"
"v2v-vision","25","25","25","25","25","25"
"vulture-energy","100","100","100","100","100","100"
"wind-turb","42","42","42","42","42","42"
"users?","false","false","false","false","false","false"
"vulture-gain-from-food","1","1","1","1","1","1"
"[reporter]","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures"
"[final]","1.9801980198019802","2.529488859764089","1.3513513513513513","3.361344537815126","3.3333333333333335","1.5151515151515151"
"[min]","0","0","0","0","0","0"
"[max]","4.819277108433735","4.49438202247191","5","5","4.761904761904762","4.545454545454546"
"[mean]","2.369092883814392","2.47984445184195","2.622635620718185","2.3297977384862305","2.4673661641039715","2.5245936235716697"
"[steps]","10000","10000","10000","10000","10000","10000"

"[all run data]","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","0"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
