"BehaviorSpace results (NetLogo 6.0.2)"
"vultures.nlogo"
"experiment"
"03/25/2018 02:03:32:905 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"movement-var","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20"
"well-alpha","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12"
"puff-time","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"show-energy?","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"wind-var","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32"
"sheep-energy","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400"
"vision","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"initial-number-sheep","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"well-beta","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"puff-num","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"wind-dir","213","213","213","213","213","213","213","213","213","213","213","213","213","213","213","213","213","213"
"sep-dist","25","25","25","30","30","30","35","35","35","40","40","40","45","45","45","50","50","50"
"chase?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"initial-number-vultures","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"puff-conc","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"wind-speed","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"movement-cost","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"movement-rate","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51"
"movement-angle","360","360","360","360","360","360","360","360","360","360","360","360","360","360","360","360","360","360"
"c","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"d","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"well-depth","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"v2v-vision","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"vulture-energy","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"wind-turb","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"users?","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"vulture-gain-from-food","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"[reporter]","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures","mean [ratio] of vultures"
"[final]","1.2903225806451613","1.086260550294401","1.5873015873015872","0.7009368477258386","0.954653937947494","1.1494252873563218","1.5580212667591309","1.6393442622950822","3.7735849056603774","4.395604395604396","0.954653937947494","1.556420233463035","3.2520325203252027","0.9132420091324199","2.0833333333333335","1.3289036544850499","2.4539877300613497","1.3114754098360655"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","4.3478260869565215","3.9603960396039604","4.49438202247191","2.898550724637681","4.938271604938271","4.3478260869565215","3.7383177570093458","4.081632653061225","4.301075268817204","4.395604395604396","3.9603960396039604","3.9603960396039604","3.2520325203252027","3.669724770642202","3.007518796992481","3.3057851239669427","3.4482758620689653","4.081632653061225"
"[mean]","1.2653398013477726","1.9187012783053132","1.7780851076018749","1.362433769036654","1.8759817302593997","1.5466969875800478","1.582922522064308","1.5424644038361892","1.4488927737873836","1.6721392706580578","1.4181502050504446","1.9951502276255761","1.6601935750587178","1.887122787322453","1.7080939299356612","1.6798024721241793","1.901759645659229","1.9624172119216194"
"[steps]","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000"

