"BehaviorSpace results (NetLogo 6.0.2)"
"vultures_user.nlogo"
"experiment"
"08/30/2018 12:09:36:017 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","[step]","avg-t2e","avg-t2d","(tic-int-count) * 100 / (tic-max)","tar-count"
"4","20000","500","100","0","2"
"3","20000","100","100","0","0"
"1","20000","285.0625","403.8125","0","5"
"2","20000","163.375","135.75","0","5"
"5","20000","390.5","18","0","3"
"6","20000","176.5","2204.25","0","3"
"7","20000","317.5","2279.5","0","2"
"8","20000","263.3617858886719","101.80816650390625","0","16"
"10","20000","500","100","0","3"
"9","20000","236.5","5421.25","0","3"
"11","20000","151","2631.5","0","3"
"12","20000","139.0625","3272.5","0","5"
"13","20000","100","100","0","0"
"14","20000","61","166","0","1"
"15","20000","500","9544.5","0","2"
"16","20000","68","876","0","1"
"17","20000","392","101.5","0","3"
"18","20000","346","9654","0","2"
"19","20000","100","100","0","0"
"20","20000","100","100","0","0"
"21","20000","390","61.5","0","3"
"22","20000","100","100","0","0"
"23","20000","111","3045","0","2"
"24","20000","173.9169921875","247.046875","0","12"
"25","20000","197.3125","1063","0","5"
"26","20000","394","1396","0","3"
"27","20000","500","16888","0","1"
"28","20000","458.6787109375","598.2021484375","0","13"
"29","20000","161.5","15","0","3"
"30","20000","163.6875","108.5625","0","5"
"31","20000","364.625","2881.75","0","5"
"32","20000","220.6875","782.28125","0","7"
"33","20000","500","100","0","1"
"34","20000","279.0625","2165","0","5"
"35","20000","54.5","100.5","0","2"
"37","20000","367.6875","263.5","0","7"
"36","20000","60","209","0","1"
"38","20000","245.875","770.375","0","5"
"39","20000","301.6796875","118.90625","0","9"
"40","20000","65","46","0","1"
"42","20000","280","9159","0","2"
"41","20000","100","100","0","0"
"43","20000","100","100","0","0"
"44","20000","156.76171875","129.2265625","0","10"
"45","20000","389.75","1720","0","3"
"46","20000","399.25","1920.25","0","4"
"47","20000","100","100","0","0"
"48","20000","66","176","0","1"
"49","20000","217.5","1205.25","0","4"
"50","20000","454.75","2394","0","5"
"51","20000","222.59375","1431.375","0","6"
"52","20000","148.5","119.5","0","2"
"53","20000","100","100","0","0"
"55","20000","300.4375","405.28125","0","7"
"54","20000","500","100","0","1"
"56","20000","100","100","0","0"
"57","20000","100","100","0","0"
"58","20000","189.375","319","0","4"
"59","20000","500","100","0","1"
"60","20000","338.28125","450.875","0","7"
"61","20000","445.25","947","0","4"
"62","20000","500","100","0","1"
"63","20000","305.0927734375","174.046875","0","11"
"64","20000","95","965.5","0","2"
"65","20000","199.875","1979.25","0","6"
"66","20000","289.5","123.5","0","2"
"68","20000","172.5","6316.5","0","2"
"67","20000","500","100","0","1"
"69","20000","100","100","0","0"
"70","20000","500","11830","0","1"
"71","20000","158.84375","194.3515625","0","9"
"72","20000","228","113.5","0","2"
"73","20000","65","182","0","1"
"74","20000","65","221","0","1"
"75","20000","255.125","2767.375","0","4"
"76","20000","272.734375","478.328125","0","7"
"77","20000","306.5","8069.5","0","2"
"78","20000","100","100","0","0"
"79","20000","308","105.5","0","3"
"80","20000","275.625","79.75","0","4"
"81","20000","235.125","288","0","4"
"83","20000","225.65625","1691.0625","0","6"
"82","20000","100","19978","0","1"
"85","20000","421.4375","1759.75","0","5"
"84","20000","100","100","0","0"
"86","20000","268.25","49","0","3"
"87","20000","294.25","128","0","4"
"88","20000","100","100","0","0"
"89","20000","180.734375","404.7978515625","0","11"
"90","20000","100","100","0","0"
"91","20000","100","100","0","0"
"92","20000","500","9740","0","2"
"93","20000","100","100","0","0"
"94","20000","283","156","0","2"
"95","20000","259.6875","2404.375","0","6"
"96","20000","327","8759","0","2"
"98","20000","100","100","0","0"
"97","20000","100","100","0","0"
"99","20000","100","100","0","0"
"100","20000","281","7166","0","2"
