"BehaviorSpace results (NetLogo 6.0.4)"
"vultures_user.nlogo"
"experiment"
"08/30/2018 11:05:56:088 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","[step]","avg-t2e","avg-t2d","(tic-int-count) * 100 / (tic-max)","tar-count"
"8","20000","249.36749671931466","548.284410802662","0","40"
"5","20000","271.7506323187845","351.8169278614223","0","36"
"3","20000","372.0585809610784","360.0983012653887","0","30"
"2","20000","294.3020135164261","843.4368906319141","0","28"
"6","20000","252.31057410379435","109.13079703474068","0","39"
"4","20000","277.2116928100586","508.78440380096436","0","24"
"1","20000","159.97357177734375","562.9814453125","0","15"
"7","20000","244.97095394134521","191.19397974014282","0","22"
"9","20000","249.93174155568704","566.6087985360064","0","34"
"14","20000","250.4360103594081","726.3856810401194","0","39"
"10","20000","202.22340759355575","132.77499096281826","0","32"
"15","20000","244.69655990600586","1773.4902982711792","0","23"
"13","20000","151.84573532105424","158.3030332145281","0","34"
"12","20000","280.53428226709366","384.91733717918396","0","25"
"11","20000","325.3516711592674","185.20575386285782","0","27"
"16","20000","416.9807133078575","166.56204771995544","0","26"
"17","20000","182.5454314971139","88.22515487804776","0","37"
"20","20000","283.42201912682503","196.05686925910413","0","31"
"19","20000","223.56903527950635","209.64396829530597","0","37"
"18","20000","238.46213126182556","107.12020826339722","0","26"
"22","20000","207.4561646528291","69.34189522876113","0","40"
"21","20000","251.8048531189561","1390.4427757039666","0","31"
"23","20000","218.32521706447005","293.7915664575994","0","32"
"24","20000","183.46086272597313","396.7512132525444","0","27"
"25","20000","221.08423539460637","268.63585461862385","0","34"
"26","20000","359.13305404782295","803.3015939593315","0","26"
"27","20000","426.64394114911556","236.40540674328804","0","28"
"29","20000","273.6937453838764","491.5430958351353","0","35"
"30","20000","227.8079307754524","111.30509698577225","0","32"
"28","20000","253.27998766303062","1477.3832768201828","0","26"
"31","20000","233.19078083802015","439.0936222821474","0","31"
"32","20000","165.40477424447454","237.06087819612003","0","39"
"33","20000","329.75215072743595","226.1659793034196","0","31"
"34","20000","323.70055456180125","148.93270512204617","0","35"
"35","20000","151.25255002950144","125.56574756436021","0","38"
"37","20000","225.3277452968514","31.500291754567115","0","43"
"36","20000","161.66947616217658","185.60662061953917","0","35"
"38","20000","195.25167568027973","567.671953201294","0","27"
"39","20000","207.59732515225187","100.16131991520524","0","32"
"40","20000","243.42076641321182","593.8554849624634","0","25"
"41","20000","212.61242866516113","926.8593864440918","0","22"
"42","20000","198.95630603133463","122.44408649561501","0","44"
"43","20000","276.619771489768","121.83719965282944","0","39"
"45","20000","301.21916273075203","111.7027854323751","0","41"
"44","20000","255.28351864385513","157.67876748673734","0","40"
"47","20000","281.32716197359014","198.81746927662903","0","48"
"46","20000","238.0717597603798","218.62472093105316","0","28"
"48","20000","303.154544161167","1080.0874583632685","0","32"
"49","20000","170.8818732964137","79.53719988046214","0","37"
"50","20000","209.97813415527344","184.64059436321259","0","24"
"51","20000","352.7343406853033","350.02904615784064","0","35"
"52","20000","295.97648018971086","597.9751341491938","0","30"
"53","20000","230.58252481371164","650.3956317305565","0","29"
"54","20000","279.6434252699255","198.00437353830785","0","35"
"55","20000","252.80592420697212","515.293630592525","0","28"
"56","20000","260.439972281456","284.9526741504669","0","24"
"57","20000","257.34746081742196","154.33341241862217","0","40"
"58","20000","207.8892822265625","323.4215087890625","0","15"
"60","20000","340.4194167244714","206.28974104835652","0","35"
"59","20000","272.6029074192047","148.1389627456665","0","23"
"62","20000","333.09154619066976","154.89543860172853","0","34"
"61","20000","301.53451722860336","115.83763825893402","0","25"
"63","20000","167.42832642793655","603.0746500492096","0","25"
"64","20000","261.2156082158908","571.6435073465109","0","31"
"65","20000","237.5076351360185","590.9293187528383","0","37"
"66","20000","293.8603595662862","564.6220811530948","0","30"
"67","20000","202.50694505497813","150.51853989809752","0","29"
"68","20000","464.37970012426376","386.72807919979095","0","27"
"69","20000","234.34468728490174","61.398596027866006","0","31"
"70","20000","432.4486464143265","123.53052327199839","0","33"
"71","20000","278.50566017627716","2277.3165949583054","0","24"
"72","20000","221.83395340759307","521.5460298508406","0","32"
"73","20000","213.99868904054165","1874.6954681277275","0","27"
"74","20000","260.5582982301712","992.8036947250366","0","24"
"75","20000","324.61120166938053","735.0343658427009","0","36"
"77","20000","164.1062398269387","101.58113375303219","0","39"
"76","20000","326.75213807821274","610.1065475344658","0","27"
"78","20000","351.7977096475661","309.6288922801614","0","30"
"79","20000","241.19266343675554","151.2593778045848","0","31"
"80","20000","261.7828159055207","1192.0452929267194","0","34"
"81","20000","244.5835863632601","202.34519853314123","0","41"
"82","20000","147.2795524166421","133.02025038763384","0","47"
"83","20000","199.10206516832113","278.3734635412693","0","29"
"85","20000","367.3040842153132","344.34970566630363","0","29"
"84","20000","243.73942711949348","640.6369844079018","0","27"
"86","20000","320.19796431064606","672.1337733268738","0","25"
"87","20000","243.77367931464687","225.77163396403193","0","33"
"88","20000","249.3965985267423","181.14697548560798","0","33"
"89","20000","337.0242376518436","180.5141193397576","0","35"
"90","20000","256.06281296536326","85.56992791686207","0","33"
"91","20000","193.45270316209644","276.0779386702925","0","32"
"92","20000","247.2431713999249","177.39043132588267","0","34"
"93","20000","174.06681707128882","193.98168089613318","0","30"
"94","20000","240.84713366394863","329.2481494459789","0","35"
"95","20000","356.48327941447496","367.85652028024197","0","30"
"97","20000","196.39579595532268","126.12103942688555","0","32"
"96","20000","392.9427125453949","960.6453986167908","0","24"
"98","20000","290.6306391831022","201.9432617542334","0","34"
"99","20000","220.3905177116394","275.458984375","0","22"
"100","20000","253.0080108642578","1191.0944213867188","0","17"
