"BehaviorSpace results (NetLogo 6.0.4)"
"vultures_user.nlogo"
"experiment"
"08/30/2018 08:41:39:319 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","[step]","avg-t2e","avg-t2d","(tic-int-count) * 100 / (tic-max)","tar-count"
"8","20000","405.642578125","618.0703125","0","11"
"7","20000","344.9375","1377.640625","0","8"
"6","20000","482.65625","1104.21875","0","8"
"4","20000","325.09765625","190.013671875","0","10"
"2","20000","375.640625","1954.109375","0","7"
"5","20000","358.064453125","977.5625","0","11"
"3","20000","479.25","6025.4375","0","6"
"1","20000","487.625","3056.5","0","8"
"10","20000","456.62109375","96.3671875","0","9"
"11","20000","386.1875","781.2578125","0","8"
"9","20000","493.328125","1866.359375","0","8"
"12","20000","381.859375","426.921875","0","9"
"13","20000","476.25","5347.25","0","6"
"15","20000","382.08984375","691.7890625","0","10"
"14","20000","288.53662109375","727.8427734375","0","12"
"16","20000","427","1305.6875","0","7"
"17","20000","361.1455078125","2569.064453125","0","14"
"18","20000","441.7421875","5659.671875","0","10"
"20","20000","338.48388671875","199.30360412597656","0","17"
"19","20000","413.19195556640625","848.4097900390625","0","16"
"21","20000","300.19921875","1242.1796875","0","9"
"22","20000","495.46875","393.4609375","0","9"
"23","20000","463.8486328125","828.787109375","0","11"
"24","20000","432","897.78125","0","6"
"25","20000","272.119384765625","478.351318359375","0","14"
"26","20000","492.4248046875","1333.888671875","0","13"
"27","20000","464.5615234375","1060.5","0","12"
"29","20000","309.0107421875","1666.390625","0","11"
"28","20000","500","7642.5","0","3"
"30","20000","493.51204681396484","362.135986328125","0","19"
"31","20000","379","1384.75","0","5"
"32","20000","343.328125","1906.9375","0","8"
"33","20000","429.21533203125","297.09521484375","0","13"
"34","20000","344.4449462890625","817.5958251953125","0","17"
"35","20000","363.671875","867.41796875","0","10"
"36","20000","325.95849609375","897.5185546875","0","13"
"37","20000","400.3302001953125","440.8740234375","0","14"
"38","20000","490.59765625","181.515625","0","10"
"39","20000","467.5","3878.5","0","5"
"40","20000","499.5","833.15625","0","6"
"41","20000","459.1092529296875","1092.3135986328125","0","15"
"42","20000","485.849609375","359.8203125","0","12"
"43","20000","486.55308532714844","629.5730590820312","0","18"
"44","20000","307.45556640625","251.74609375","0","12"
"45","20000","446.6875","2445.5","0","7"
"46","20000","343.0703125","894.6015625","0","8"
"47","20000","439.6875","952.875","0","10"
"49","20000","461.916015625","1575.0234375","0","12"
"48","20000","454.041015625","352.720703125","0","10"
"50","20000","488.3720703125","442.283203125","0","11"
"51","20000","359.85546875","638.794921875","0","12"
"52","20000","371.18359375","1183.8671875","0","10"
"53","20000","470.625","6604.375","0","4"
"54","20000","416.96875","1427.28125","0","6"
"55","20000","432.3359375","1823.53125","0","9"
"56","20000","458.5","221.984375","0","10"
"58","20000","464.375","1168.75","0","5"
"59","20000","430.0068359375","212.76171875","0","13"
"57","20000","365","1761.9375","0","6"
"60","20000","476.12884521484375","3296.890380859375","0","15"
"61","20000","431.3125","885.671875","0","13"
"62","20000","495.828125","942.8759765625","0","11"
"63","20000","470.171875","542.8671875","0","13"
"64","20000","473.4296875","1165.5","0","8"
"65","20000","345.798828125","2617.71875","0","11"
"66","20000","475.8638916015625","766.1064453125","0","15"
"68","20000","483.8828125","872.546875","0","8"
"67","20000","494.5","1062.125","0","7"
"69","20000","476.84375","1489.6875","0","7"
"70","20000","299.75","2290.6875","0","6"
"71","20000","484.046875","1868.81640625","0","9"
"72","20000","339.4288330078125","1079.987060546875","0","15"
"73","20000","417.1171875","822.796875","0","8"
"74","20000","377.546142578125","1664.930908203125","0","14"
"75","20000","489.0224609375","422.64654541015625","0","15"
"76","20000","355.1304931640625","921.43896484375","0","15"
"77","20000","500","5207.5","0","3"
"78","20000","396.3359375","1620.375","0","8"
"79","20000","463.125","3167.5","0","4"
"80","20000","490.51171875","1979.3203125","0","9"
"81","20000","373.25","978.21875","0","7"
"82","20000","481.75","4765.5","0","3"
"83","20000","384.265625","409.9111328125","0","11"
"84","20000","430.3974609375","2783.69140625","0","11"
"85","20000","449.921875","2103.21875","0","10"
"86","20000","351.328125","564.7890625","0","8"
"88","20000","497.125","2732.21875","0","6"
"89","20000","467.59765625","468.994140625","0","11"
"87","20000","459.625","729.1015625","0","9"
"90","20000","334.78000259399414","179.99761962890625","0","19"
"91","20000","317.734375","915.90625","0","7"
"93","20000","488.03125","650.87890625","0","11"
"94","20000","267.6640625","309.703125","0","8"
"92","20000","297.0517578125","647.37890625","0","11"
"95","20000","366.1181640625","138.4453125","0","14"
"96","20000","481.3203125","1556.5390625","0","9"
"97","20000","311.6015625","497.66015625","0","9"
"98","20000","487.33935546875","982.98046875","0","12"
"99","20000","474.111328125","930.611328125","0","11"
"100","20000","398.591552734375","650.822265625","0","14"
