"BehaviorSpace results (NetLogo 6.0.4)"
"vultures_user.nlogo"
"experiment"
"08/30/2018 08:05:56:408 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","[step]","avg-t2e","avg-t2d","(tic-int-count) * 100 / (tic-max)","tar-count"
"2","20000","343.9794921875","795.359375","0","14"
"4","20000","498.70458984375","396.86328125","0","13"
"6","20000","337.8125","2939.796875","0","7"
"5","20000","297.3935546875","239.27703857421875","0","19"
"7","20000","414.9375","4114.96875","0","6"
"8","20000","339.125","2331.21875","0","7"
"1","20000","400.568115234375","1669.9130859375","0","15"
"3","20000","430.84375","1317.5","0","6"
"11","20000","408.47705078125","1118.2685546875","0","12"
"9","20000","423.5","1563.5","0","7"
"10","20000","499.8125","1838.647216796875","0","13"
"13","20000","448.171875","1369.546875","0","10"
"12","20000","459.787841796875","163.6995849609375","0","15"
"14","20000","487.9677734375","692.296875","0","12"
"16","20000","485.1875","1810.91015625","0","11"
"15","20000","420.1640625","1600.18359375","0","9"
"17","20000","339.818359375","677.732421875","0","11"
"19","20000","345.5546875","355.2080078125","0","11"
"18","20000","361.4609375","943.92578125","0","11"
"20","20000","392.2867126464844","2488.8235473632812","0","17"
"23","20000","461.6875","745.259765625","0","12"
"22","20000","365.41015625","1645.701171875","0","10"
"21","20000","384.4921875","3726.859375","0","8"
"24","20000","475","624.8203125","0","8"
"25","20000","376","539.140625","0","9"
"26","20000","419.12158203125","459.1650390625","0","12"
"27","20000","486.140625","1577.578125","0","10"
"28","20000","347.22265625","619.201171875","0","13"
"29","20000","499.703125","1826.6875","0","8"
"30","20000","462.6101531982422","1009.0888366699219","0","17"
"31","20000","278.375","1998.375","0","5"
"32","20000","473.050537109375","108.76953125","0","15"
"33","20000","436.67027282714844","490.4134826660156","0","19"
"34","20000","459.09375","2784.9375","0","6"
"35","20000","331.0908203125","1946.4990234375","0","11"
"37","20000","293.61865234375","1277.1044921875","0","13"
"36","20000","444.3388671875","992.27734375","0","11"
"38","20000","368.97553062438965","111.80904006958008","0","21"
"39","20000","494.0625","1828.046875","0","8"
"40","20000","351.4905090332031","488.071533203125","0","17"
"41","20000","392.1580505371094","331.6823196411133","0","19"
"42","20000","342.85142517089844","225.67138671875","0","18"
"43","20000","358.38671875","371.4423828125","0","13"
"44","20000","370.8876953125","381.7685546875","0","14"
"45","20000","415.25","2852.6875","0","9"
"46","20000","482.314453125","633.537109375","0","12"
"47","20000","367.90625","1273.91015625","0","10"
"48","20000","421.70703125","206.1318359375","0","12"
"49","20000","373.78125","710.083984375","0","11"
"51","20000","416.5","1796.34375","0","6"
"50","20000","294.69921875","2700.875","0","9"
"52","20000","327.1171875","1676.474609375","0","10"
"53","20000","347.947509765625","454.074462890625","0","14"
"54","20000","485.25","3144.5","0","7"
"55","20000","498.91015625","421.2265625","0","12"
"56","20000","470.001953125","2040.69921875","0","10"
"57","20000","418.6224365234375","1755.441162109375","0","15"
"58","20000","486.9025573730469","472.8306884765625","0","17"
"59","20000","495.25","3400.234375","0","8"
"60","20000","483.5","1365","0","6"
"61","20000","476.5423583984375","1097.88134765625","0","15"
"62","20000","357.90625","233.892578125","0","11"
"63","20000","481.90234375","635.375","0","10"
"64","20000","477.6640625","584.33203125","0","11"
"65","20000","494.763671875","711.478515625","0","10"
"66","20000","441.07421875","1256.6875","0","9"
"67","20000","453.494140625","1216.97265625","0","10"
"68","20000","290.828125","1397.87890625","0","10"
"69","20000","497.2998046875","623.838134765625","0","13"
"70","20000","324.10546875","288.5966796875","0","12"
"71","20000","451.921875","1665.15625","0","8"
"72","20000","450.216796875","95.283203125","0","11"
"73","20000","356.95521545410156","161.53243827819824","0","20"
"74","20000","432.865234375","846.35546875","0","12"
"75","20000","497.857666015625","1127.10009765625","0","13"
"76","20000","296.125","1199.875","0","8"
"77","20000","426.5625","5604.484375","0","7"
"78","20000","448.89453125","1411.796875","0","9"
"79","20000","488.42578125","2605.6328125","0","10"
"81","20000","500","5031","0","5"
"80","20000","445.028564453125","1228.3075561523438","0","16"
"82","20000","377.37109375","1095.056640625","0","11"
"83","20000","414.3583984375","1122.8212890625","0","13"
"84","20000","314.144287109375","2621.27734375","0","13"
"85","20000","429.8974609375","943.13671875","0","11"
"86","20000","467.25","5274.8125","0","5"
"87","20000","483.2890625","458.21875","0","9"
"88","20000","375.0625","1205.46875","0","6"
"89","20000","460.81640625","2331.3857421875","0","12"
"90","20000","417.263671875","2435.419921875","0","13"
"91","20000","323.84375","1248.375","0","8"
"92","20000","329.740966796875","572.29638671875","0","14"
"93","20000","298.2685546875","450.73388671875","0","14"
"94","20000","414.1875","1379.0771484375","0","12"
"95","20000","450.63995361328125","44.51629638671875","0","17"
"96","20000","474.3701171875","581.827880859375","0","13"
"98","20000","499.8828125","423.07080078125","0","14"
"97","20000","384.0390625","587.90234375","0","9"
"99","20000","492.4267578125","964.119140625","0","13"
"100","20000","500","724.21875","0","7"
