"BehaviorSpace results (NetLogo 6.0.2)"
"vultures_ver3.nlogo"
"experiment"
"09/02/2018 11:02:07:844 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","cohesion?","users?","alignment?","[step]","avg-t2e","avg-t2d","tar-count"
"1","true","false","true","10000","282.8599624633789","129.4027214050293","19"
"3","true","false","true","10000","233.09765625","540.529541015625","13"
"4","true","false","true","10000","359.0501708984375","230.18505859375","14"
"2","true","false","true","10000","192.6914825439453","335.52288818359375","18"
"5","true","false","true","10000","178.79296875","1411.06640625","9"
"7","true","false","true","10000","246.724853515625","338.0556640625","14"
"6","true","false","true","10000","231.019287109375","136.2161865234375","14"
"8","true","false","true","10000","335.75390625","531.127685546875","13"
"10","true","false","true","10000","227.2941131591797","191.2418212890625","18"
"9","true","false","true","10000","151.9375","1477.4375","6"
"11","true","false","true","10000","187.593017578125","287.0338134765625","14"
"12","true","false","true","10000","193.83203125","327.021484375","14"
"13","true","false","true","10000","312.818115234375","419.32000732421875","15"
"14","true","false","true","10000","160.856689453125","164.65234375","16"
"15","true","false","true","10000","236.6092529296875","320.618408203125","15"
"16","true","false","true","10000","175.666015625","722.57421875","11"
"17","true","false","true","10000","176.78515625","139.365234375","11"
"18","true","false","true","10000","320.421875","554.779296875","10"
"19","true","false","true","10000","166.1053466796875","293.5120849609375","14"
"20","true","false","true","10000","452.4402618408203","374.9964599609375","17"
"21","true","false","true","10000","186.6951904296875","191.4227752685547","17"
"22","true","false","true","10000","150.568359375","1481.83984375","10"
"23","true","false","true","10000","173.42758178710938","397.3285903930664","18"
"24","true","false","true","10000","230.88299942016602","184.58282566070557","21"
"25","true","false","true","10000","453.421875","1519.015625","7"
"27","true","false","true","10000","247.00341796875","203.30712890625","13"
"26","true","false","true","10000","344.5625","1280.5625","5"
"28","true","false","true","10000","131.4447021484375","241.8310546875","14"
"30","true","false","true","10000","171.86907958984375","178.75836181640625","16"
"31","true","false","true","10000","319.5968475341797","192.74695587158203","18"
"29","true","false","true","10000","254.15625","1160.3359375","8"
"32","true","false","true","10000","295.9609375","477.58203125","9"
"35","true","false","true","10000","343.7215270996094","108.97474670410156","17"
"34","true","false","true","10000","238.783203125","133.083740234375","14"
"33","true","false","true","10000","344.75","2009.875","4"
"36","true","false","true","10000","185.24413681030273","304.30444717407227","19"
"38","true","false","true","10000","394.84466552734375","139.64288330078125","16"
"37","true","false","true","10000","146.345703125","293.958984375","11"
"39","true","false","true","10000","359.849609375","508.7265625","10"
"40","true","false","true","10000","150.45166015625","452.511962890625","13"
"41","true","false","true","10000","215.3369140625","415.47845458984375","15"
"42","true","false","true","10000","369.5647277832031","223.3885498046875","16"
"43","true","false","true","10000","120.2939453125","512.383056640625","13"
"44","true","false","true","10000","145.2379150390625","602.2981872558594","16"
"46","true","false","true","10000","206.06696319580078","246.86966705322266","18"
"45","true","false","true","10000","143.5859375","2558.5625","9"
"47","true","false","true","10000","152.00439453125","1162.0068359375","12"
"48","true","false","true","10000","415.95562744140625","483.11138916015625","15"
"49","true","false","true","10000","247.669677734375","502.462646484375","13"
"50","true","false","true","10000","153.595703125","947.779296875","10"
"51","true","false","true","10000","199.77142333984375","544.9402465820312","15"
"52","true","false","true","10000","200.32437324523926","346.02890396118164","20"
"53","true","false","true","10000","176.79279327392578","143.2343521118164","18"
"54","true","false","true","10000","325.1819152832031","410.8728942871094","16"
"55","true","false","true","10000","328.3544921875","159.07366943359375","16"
"56","true","false","true","10000","333.583251953125","452.806884765625","13"
"57","true","false","true","10000","212.878662109375","469.824462890625","13"
"58","true","false","true","10000","169.21621704101562","110.68281555175781","17"
"59","true","false","true","10000","325.349853515625","398.715087890625","13"
"60","true","false","true","10000","197.7567138671875","514.305908203125","14"
"61","true","false","true","10000","114.72705078125","473.0091552734375","16"
"62","true","false","true","10000","179.5","1909.59375","6"
"63","true","false","true","10000","362.09619140625","1252.8646240234375","14"
"64","true","false","true","10000","138.1298828125","1882.433349609375","13"
"65","true","false","true","10000","134.34466552734375","258.5309600830078","19"
"66","true","false","true","10000","155.82928466796875","438.26220703125","15"
"67","true","false","true","10000","168.9537353515625","469.990234375","14"
"68","true","false","true","10000","269.7554931640625","73.8646240234375","16"
"69","true","false","true","10000","343.9296875","623.24609375","9"
"70","true","false","true","10000","219.3211669921875","251.25140380859375","15"
"71","true","false","true","10000","182.36572265625","355.0494384765625","16"
"72","true","false","true","10000","164.26010131835938","99.17135620117188","16"
"74","true","false","true","10000","240.60479736328125","114.3013916015625","16"
"73","true","false","true","10000","180.3388671875","1112.3271484375","11"
"75","true","false","true","10000","241.71311950683594","53.21527099609375","17"
"76","true","false","true","10000","205.591796875","1184.94921875","11"
"77","true","false","true","10000","225.019287109375","107.387451171875","13"
"78","true","false","true","10000","232.50390625","888.296875","10"
"79","true","false","true","10000","141.2026023864746","242.67378616333008","20"
"81","true","false","true","10000","135.28961181640625","774.5502319335938","15"
"82","true","false","true","10000","233.43731689453125","66.232666015625","16"
"80","true","false","true","10000","374.9404296875","794.92138671875","12"
"83","true","false","true","10000","158.736328125","650.036376953125","13"
"84","true","false","true","10000","172.1704559326172","545.7513809204102","18"
"85","true","false","true","10000","216.3872833251953","456.69825744628906","17"
"86","true","false","true","10000","376.2734375","530.296875","9"
"87","true","false","true","10000","334.453125","812.609375","8"
"88","true","false","true","10000","131.098388671875","335.7930603027344","16"
"89","true","false","true","10000","226.84027099609375","141.892578125","15"
"90","true","false","true","10000","152.21136474609375","327.4971923828125","16"
"91","true","false","true","10000","130.36190795898438","796.9762115478516","17"
"93","true","false","true","10000","319.04833984375","722.37060546875","13"
"92","true","false","true","10000","150.5771484375","312.830078125","12"
"94","true","false","true","10000","186.2829132080078","195.1684112548828","17"
"95","true","false","true","10000","143.43747520446777","230.49748420715332","20"
"97","true","false","true","10000","142.12866973876953","192.2364559173584","20"
"96","true","false","true","10000","314.8506164550781","268.8336486816406","16"
"98","true","false","true","10000","341.28955078125","247.03857421875","12"
"99","true","false","true","10000","160.2122802734375","334.0107421875","15"
"100","true","false","true","10000","215.54124450683594","158.4534149169922","18"
"101","true","false","true","10000","124.5284423828125","523.1363525390625","15"
"102","true","false","true","10000","333.44873046875","502.28125","12"
"103","true","false","true","10000","190.27142333984375","674.0155944824219","17"
"105","true","false","true","10000","221.72073364257812","207.04664611816406","18"
"104","true","false","true","10000","179.88519287109375","428.3033447265625","15"
"106","true","false","true","10000","231.417236328125","611.8277587890625","14"
"107","true","false","true","10000","182.4609375","1730.296875","8"
"109","true","false","true","10000","149.743408203125","383.736083984375","13"
"108","true","false","true","10000","348.484375","706.88671875","9"
"110","true","false","true","10000","193.2977294921875","756.228759765625","14"
"112","true","false","true","10000","334.71778106689453","119.20978164672852","19"
"111","true","false","true","10000","394.47998046875","675.8173828125","12"
"113","true","false","true","10000","281.092529296875","669.4921875","13"
"114","true","false","true","10000","125.4677734375","254.050537109375","14"
"116","true","false","true","10000","152.784912109375","785.596923828125","13"
"115","true","false","true","10000","217.7861328125","1637.689453125","12"
"117","true","false","true","10000","136.96777534484863","328.9510803222656","20"
"118","true","false","true","10000","203.078125","678.625","7"
"120","true","false","true","10000","193.77167892456055","147.82202339172363","20"
"121","true","false","true","10000","219.864501953125","266.812255859375","14"
"119","true","false","true","10000","136.721923828125","413.0604248046875","15"
"123","true","false","true","10000","354.059814453125","352.560302734375","14"
"122","true","false","true","10000","203.3173828125","508.166015625","11"
"124","true","false","true","10000","371.814453125","1077.45703125","10"
"125","true","false","true","10000","290.93359375","1726.5","9"
"126","true","false","true","10000","283.721435546875","544.9691162109375","14"
"127","true","false","true","10000","230.154296875","281.80267333984375","15"
"128","true","false","true","10000","326.755615234375","828.8742980957031","16"
"129","true","false","true","10000","368.533203125","650.544921875","10"
"130","true","false","true","10000","165.4239501953125","379.921142578125","14"
"131","true","false","true","10000","356.45037841796875","645.5717163085938","15"
"132","true","false","true","10000","266.162109375","224.13671875","10"
"133","true","false","true","10000","217.67822265625","666.13720703125","12"
"134","true","false","true","10000","232.5703125","1164.166015625","10"
"135","true","false","true","10000","265.72290802001953","183.30821228027344","19"
"136","true","false","true","10000","239.024658203125","435.154541015625","13"
"137","true","false","true","10000","409.8125","2725.796875","7"
"138","true","false","true","10000","306.740234375","1314.2607421875","12"
"139","true","false","true","10000","417.06610107421875","646.7364807128906","16"
"140","true","false","true","10000","202.04345703125","737.8311767578125","15"
"141","true","false","true","10000","168.962890625","504.63330078125","12"
"142","true","false","true","10000","258.2890625","583.80859375","9"
"144","true","false","true","10000","136.6318359375","507.7578125","11"
"143","true","false","true","10000","219.35009765625","325.69873046875","13"
"145","true","false","true","10000","299.4892692565918","158.04270935058594","19"
"146","true","false","true","10000","226.4453125","1568.4375","8"
"147","true","false","true","10000","188.79296875","325.2060546875","12"
"148","true","false","true","10000","260.875","1274.9375","7"
"149","true","false","true","10000","246.682373046875","302.8211364746094","16"
"150","true","false","true","10000","154.982421875","692.0869140625","12"
"151","true","false","true","10000","194.80803680419922","452.85314178466797","19"
"152","true","false","true","10000","180.81777954101562","392.7906723022461","20"
"153","true","false","true","10000","455.40625","303.87109375","9"
"155","true","false","true","10000","315.125","680.15625","7"
"154","true","false","true","10000","240.2060546875","403.1875","11"
"156","true","false","true","10000","169.74066162109375","62.151031494140625","16"
"157","true","false","true","10000","138.18359375","1098.291015625","10"
"158","true","false","true","10000","201.59619140625","229.4794921875","12"
"159","true","false","true","10000","328.60353088378906","111.50507354736328","18"
"160","true","false","true","10000","287.225830078125","633.3748779296875","15"
"161","true","false","true","10000","209.3870849609375","925.2310791015625","16"
"162","true","false","true","10000","255.771484375","826.869140625","11"
"163","true","false","true","10000","153.6543083190918","283.33202362060547","19"
"164","true","false","true","10000","186.78173828125","231.1572265625","12"
"165","true","false","true","10000","124.6376953125","1001.5927734375","12"
"167","true","false","true","10000","216.068359375","532.892578125","10"
"166","true","false","true","10000","212.375","1562.875","6"
"168","true","false","true","10000","366.819091796875","465.7872314453125","14"
"169","true","false","true","10000","128.419921875","373.7255859375","12"
"170","true","false","true","10000","306.3772506713867","214.71017456054688","18"
"171","true","false","true","10000","251.45121002197266","471.0481414794922","19"
"173","true","false","true","10000","213.26910400390625","449.9637145996094","16"
"172","true","false","true","10000","197.8525390625","565.609375","12"
"174","true","false","true","10000","266.66796875","729.156494140625","14"
"175","true","false","true","10000","201.67041015625","752.924560546875","13"
"176","true","false","true","10000","191.30108642578125","606.9372253417969","16"
"177","true","false","true","10000","232.36328125","521.9599609375","11"
"179","true","false","true","10000","238.03506469726562","178.60147094726562","17"
"178","true","false","true","10000","391.625","2294.125","4"
"180","true","false","true","10000","182.171875","1434.703125","7"
"181","true","false","true","10000","185.6953125","447.609375","10"
"182","true","false","true","10000","320.9482421875","850.5926513671875","14"
"183","true","false","true","10000","348.4970359802246","156.99977493286133","19"
"185","true","false","true","10000","225.4842529296875","438.90087890625","14"
"184","true","false","true","10000","188.71875","371.3984375","8"
"186","true","false","true","10000","166.851806640625","584.4091796875","13"
"187","true","false","true","10000","444.6640625","1115.17578125","9"
"189","true","false","true","10000","257.48046875","742.37548828125","12"
"190","true","false","true","10000","172.64565086364746","303.19070053100586","20"
"188","true","false","true","10000","162.34765625","1215.365234375","10"
"191","true","false","true","10000","169.072265625","916.4208984375","11"
"192","true","false","true","10000","240.607421875","196.95361328125","13"
"193","true","false","true","10000","156.1494140625","432.229248046875","13"
"194","true","false","true","10000","185.50933837890625","117.77601623535156","17"
"195","true","false","true","10000","159.86328125","1298.45703125","10"
"197","true","false","true","10000","307.2073974609375","171.96027374267578","18"
"196","true","false","true","10000","109.11492919921875","203.55340576171875","16"
"198","true","false","true","10000","340.724609375","960.6875","11"
"199","true","false","true","10000","372.6396484375","342.869140625","11"
"200","true","false","true","10000","129.0184326171875","176.42495727539062","16"
"201","true","false","true","10000","184.0128173828125","911.2916259765625","16"
"202","true","false","true","10000","188.0655517578125","838.263427734375","15"
"203","true","false","true","10000","168.0362663269043","306.747314453125","20"
"204","true","false","true","10000","208.114990234375","1212.9580078125","14"
"205","true","false","true","10000","366.84716796875","812.0966796875","12"
"207","true","false","true","10000","218.0419921875","317.3564453125","12"
"206","true","false","true","10000","240.921875","1110.4375","7"
"208","true","false","true","10000","262.515625","224.42236328125","13"
"209","true","false","true","10000","132.1640625","1022.271484375","10"
"210","true","false","true","10000","258.525390625","309.1484375","12"
"211","true","false","true","10000","158.17333984375","651.57470703125","12"
"212","true","false","true","10000","159.900390625","303.85009765625","12"
"213","true","false","true","10000","290.1085205078125","659.5971984863281","16"
"214","true","false","true","10000","262.966796875","441.85107421875","12"
"215","true","false","true","10000","428.5439453125","116.567626953125","13"
"216","true","false","true","10000","172.25753784179688","173.704833984375","16"
"217","true","false","true","10000","165.09375","547.50390625","9"
"218","true","false","true","10000","200.40090942382812","428.52813720703125","17"
